trackname,composer,milliseconds,bytes,unitprice,albumtitle,artistname,mediatypename,genrename,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,invoicetotal,customerfirstname,customerlastname,customeraddress,customercity,customerstate,customercountry,invoicelinequantity,invoicelineunitprice,Day,Month,Year
Meninos E Meninas,Dado Villa-Lobos/Marcelo Bonfá,203781,6667802,0.99,Mais Do Mesmo,Legião Urbana,MPEG audio file,Latin,2021-08-11,Porthaninkatu 9,Helsinki,unknown,Finland,00530,8.91,Terhi,Hämäläinen,Porthaninkatu 9,Helsinki,unknown,Finland,1,0.99,11,8,2021
Are You Gonna Go My Way,Craig Ross/Lenny Kravitz,211591,6905135,0.99,Greatest Hits,Lenny Kravitz,MPEG audio file,Rock,2021-08-11,Porthaninkatu 9,Helsinki,unknown,Finland,00530,8.91,Terhi,Hämäläinen,Porthaninkatu 9,Helsinki,unknown,Finland,1,0.99,11,8,2021
Mr. Cab Driver,Lenny Kravitz,230321,7668084,0.99,Greatest Hits,Lenny Kravitz,MPEG audio file,Rock,2021-08-11,Porthaninkatu 9,Helsinki,unknown,Finland,00530,8.91,Terhi,Hämäläinen,Porthaninkatu 9,Helsinki,unknown,Finland,1,0.99,11,8,2021
Believe,Henry Hirsch/Lenny Kravitz,295131,9661978,0.99,Greatest Hits,Lenny Kravitz,MPEG audio file,Rock,2021-08-11,Porthaninkatu 9,Helsinki,unknown,Finland,00530,8.91,Terhi,Hämäläinen,Porthaninkatu 9,Helsinki,unknown,Finland,1,0.99,11,8,2021
Condição,unknown,263549,8778465,0.99,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Lulu Santos,MPEG audio file,Latin,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Aquilo,unknown,246073,8167819,0.99,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,MPEG audio file,Latin,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Assaltaram A Gramática,unknown,261041,8698959,0.99,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,MPEG audio file,Latin,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Waterhole (Expresso Bongo),"Kelly, Mosley, Rothery, Trewaves",133093,4378835,0.99,Misplaced Childhood,Marillion,MPEG audio file,Rock,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Tempos Modernos,Lulu Santos,183066,6066234,0.99,Barulhinho Bom,Marisa Monte,MPEG audio file,Latin,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Dança Da Solidão,Caetano Veloso e Gilberto Gil,203520,6699368,0.99,Barulhinho Bom,Marisa Monte,MPEG audio file,Latin,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
When I Had Your Love,"Robert Rogers/Warren ""Pete"" Moore/William ""Mickey"" Stevenson",152424,4972815,0.99,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,MPEG audio file,R&B/Soul,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Save The Children,Al Cleveland/Marvin Gaye/Renaldo Benson,194821,6342021,0.99,Seek And Shall Find: More Of The Best (1963-1981),Marvin Gaye,MPEG audio file,R&B/Soul,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Down by the Sea,unknown,408163,13314900,0.99,The Best Of Men At Work,Men At Work,MPEG audio file,Rock,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
The Unforgiven,"James Hetfield, Lars Ulrich and Kirk Hammett",387082,12646886,0.99,Black Album,Metallica,MPEG audio file,Metal,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Helpless,Harris/Tatler,398315,12977902,0.99,Garage Inc. (Disc 2),Metallica,MPEG audio file,Metal,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Stone Cold Crazy,Deacon/May/Mercury/Taylor,137717,4514830,0.99,Garage Inc. (Disc 2),Metallica,MPEG audio file,Metal,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Motorbreath,James Hetfield,188395,6153933,0.99,Kill 'Em All,Metallica,MPEG audio file,Metal,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
2 X 4,"James Hetfield, Lars Ulrich, Kirk Hammett",328254,10732251,0.99,Load,Metallica,MPEG audio file,Metal,2021-08-16,113 Lupus St,London,unknown,United Kingdom,SW1V 3EN,13.86,Phil,Hughes,113 Lupus St,London,unknown,United Kingdom,1,0.99,16,8,2021
Master Of Puppets,K.Hammett,515239,16893720,0.99,Master Of Puppets,Metallica,MPEG audio file,Metal,2021-08-24,Grétrystraat 63,Brussels,unknown,Belgium,1000,0.99,Daan,Peeters,Grétrystraat 63,Brussels,unknown,Belgium,1,0.99,24,8,2021
The Thing That Should Not Be,K.Hammett,396199,12952368,0.99,Master Of Puppets,Metallica,MPEG audio file,Metal,2021-09-06,Sønder Boulevard 51,Copenhagen,unknown,Denmark,1720,1.98,Kara,Nielsen,Sønder Boulevard 51,Copenhagen,unknown,Denmark,1,0.99,6,9,2021
Welcome Home (Sanitarium),K.Hammett,387186,12679965,0.99,Master Of Puppets,Metallica,MPEG audio file,Metal,2021-09-06,Sønder Boulevard 51,Copenhagen,unknown,Denmark,1720,1.98,Kara,Nielsen,Sønder Boulevard 51,Copenhagen,unknown,Denmark,1,0.99,6,9,2021
Leper Messiah,C.Burton,347428,11310434,0.99,Master Of Puppets,Metallica,MPEG audio file,Metal,2021-09-06,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,1.98,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,6,9,2021
Damage Inc.,K.Hammett,330919,10725029,0.99,Master Of Puppets,Metallica,MPEG audio file,Metal,2021-09-06,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,1.98,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,6,9,2021
The Memory Remains,"Hetfield, Ulrich",279353,9110730,0.99,ReLoad,Metallica,MPEG audio file,Metal,2021-09-07,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3.96,Fernanda,Ramos,Qe 7 Bloco G,Brasília,DF,Brazil,1,0.99,7,9,2021
The Unforgiven II,"Hetfield, Ulrich, Hammett",395520,12886474,0.99,ReLoad,Metallica,MPEG audio file,Metal,2021-09-07,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3.96,Fernanda,Ramos,Qe 7 Bloco G,Brasília,DF,Brazil,1,0.99,7,9,2021
Slither,"Hetfield, Ulrich, Hammett",313103,10199789,0.99,ReLoad,Metallica,MPEG audio file,Metal,2021-09-07,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3.96,Fernanda,Ramos,Qe 7 Bloco G,Brasília,DF,Brazil,1,0.99,7,9,2021
Bad Seed,"Hetfield, Ulrich, Hammett",245394,8019586,0.99,ReLoad,Metallica,MPEG audio file,Metal,2021-09-07,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,3.96,Fernanda,Ramos,Qe 7 Bloco G,Brasília,DF,Brazil,1,0.99,7,9,2021
Attitude,"Hetfield, Ulrich",315898,10335734,0.99,ReLoad,Metallica,MPEG audio file,Metal,2021-09-08,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,8,9,2021
For Whom The Bell Tolls,Metallica,311719,10159725,0.99,Ride The Lightning,Metallica,MPEG audio file,Metal,2021-09-08,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,8,9,2021
Creeping Death,Metallica,396878,12955593,0.99,Ride The Lightning,Metallica,MPEG audio file,Metal,2021-09-08,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,8,9,2021
Some Kind Of Monster,Bob Rock/James Hetfield/Kirk Hammett/Lars Ulrich,505626,16557497,0.99,St. Anger,Metallica,MPEG audio file,Metal,2021-09-08,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,8,9,2021
Shoot Me Again,Bob Rock/James Hetfield/Kirk Hammett/Lars Ulrich,430210,14093551,0.99,St. Anger,Metallica,MPEG audio file,Metal,2021-09-08,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,8,9,2021
All Within My Hands,Bob Rock/James Hetfield/Kirk Hammett/Lars Ulrich,527986,17162741,0.99,St. Anger,Metallica,MPEG audio file,Metal,2021-09-08,1 Microsoft Way,Redmond,WA,USA,98052-8300,5.94,Jack,Smith,1 Microsoft Way,Redmond,WA,USA,1,0.99,8,9,2021
Harvester Of Sorrow,James Hetfield and Lars Ulrich,345547,11377339,0.99,...And Justice For All,Metallica,MPEG audio file,Metal,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
The Duke,Dave Brubeck,214961,6977626,0.99,Miles Ahead,Miles Davis,MPEG audio file,Jazz,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
Lament,J.J. Johnson,134191,4293394,0.99,Miles Ahead,Miles Davis,MPEG audio file,Jazz,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
Coração De Estudante,"Wagner Tiso, Milton Nascimento",238550,7797308,0.99,Milton Nascimento Ao Vivo,Milton Nascimento,MPEG audio file,Latin,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
Menestrel Das Alagoas,"Milton Nascimento, Fernando Brant",199758,6542289,0.99,Milton Nascimento Ao Vivo,Milton Nascimento,MPEG audio file,Latin,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
"Maria, Maria","Milton Nascimento, Fernando Brant",72463,2371543,0.99,Milton Nascimento Ao Vivo,Milton Nascimento,MPEG audio file,Latin,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
Ponta de Areia,"Milton Nascimento, Fernando Brant",272796,8874285,0.99,Minas,Milton Nascimento,MPEG audio file,Latin,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
Norwegian Wood,"John Lennon, Paul McCartney",413910,13520382,0.99,Minas,Milton Nascimento,MPEG audio file,Latin,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
Fast And Loose,Clarke/Kilmister/Taylor,203337,6643350,0.99,Ace Of Spades,Motörhead,MPEG audio file,Metal,2021-09-11,69 Salem Street,Boston,MA,USA,2113,8.91,John,Gordon,69 Salem Street,Boston,MA,USA,1,0.99,11,9,2021
Please Don't Touch,Heath/Robinson,169926,5557002,0.99,Ace Of Spades,Motörhead,MPEG audio file,Metal,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Wild Side,Nikki Sixx/Tommy Lee/Vince Neil,276767,9116997,0.99,Motley Crue Greatest Hits,Mötley Crüe,MPEG audio file,Metal,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Primal Scream,Mick Mars/Nikki Sixx/Tommy Lee/Vince Neil,286197,9421164,0.99,Motley Crue Greatest Hits,Mötley Crüe,MPEG audio file,Metal,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Been A Son,Kurt Cobain,127555,4170369,0.99,From The Muddy Banks Of The Wishkah [Live],Nirvana,MPEG audio file,Rock,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Breed,Kurt Cobain,208378,6759080,0.99,From The Muddy Banks Of The Wishkah [Live],Nirvana,MPEG audio file,Rock,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Territorial Pissings,Kurt Cobain,143281,4613880,0.99,Nevermind,Nirvana,MPEG audio file,Rock,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Folhas Secas,unknown,161253,5284522,0.99,Compositores,O Terço,MPEG audio file,Rock,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Menino De Rua,unknown,329795,10784595,0.99,Compositores,O Terço,MPEG audio file,Rock,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Denúncia,unknown,159555,5327433,0.99,Olodum,Olodum,MPEG audio file,Latin,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
O Trem Da Juventude,Herbert Vianna,225880,7507655,0.99,Acústico MTV,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Selvagem,Bi Ribeiro/Herbert Vianna/João Barone,148558,4942831,0.99,Acústico MTV,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Nebulosa Do Amor,Herbert Vianna,203415,6732496,0.99,Acústico MTV,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Luis Inacio (300 Picaretas),Herbert Vianna,198191,6576790,0.99,Arquivo II,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-09-16,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,13.86,Aaron,Mitchell,696 Osborne Street,Winnipeg,MB,Canada,1,0.99,16,9,2021
Perplexo,unknown,161175,5355013,0.99,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-09-24,3 Chatham Street,Dublin,Dublin,Ireland,0,0.99,Hugh,O'Reilly,3 Chatham Street,Dublin,Dublin,Ireland,1,0.99,24,9,2021
Me Liga,unknown,229590,7565912,0.99,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-10-07,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,1.98,Lucas,Mancini,"Via Degli Scipioni, 43",Rome,RM,Italy,1,0.99,7,10,2021
Quase Um Segundo,unknown,275644,8971355,0.99,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-10-07,"Via Degli Scipioni, 43",Rome,RM,Italy,00192,1.98,Lucas,Mancini,"Via Degli Scipioni, 43",Rome,RM,Italy,1,0.99,7,10,2021
Romance Ideal,unknown,250070,8260477,0.99,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-10-07,Ordynacka 10,Warsaw,unknown,Poland,00-358,1.98,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,7,10,2021
SKA,unknown,148871,4943540,0.99,Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso,MPEG audio file,Latin,2021-10-07,Ordynacka 10,Warsaw,unknown,Poland,00-358,1.98,Stanisław,Wójcik,Ordynacka 10,Warsaw,unknown,Poland,1,0.99,7,10,2021
I Don't Know,"B. Daisley, O. Osbourne & R. Rhoads",312980,5525339,0.99,Blizzard of Ozz,Ozzy Osbourne,Protected AAC audio file,Rock,2021-10-08,Celsiusg. 9,Stockholm,unknown,Sweden,11230,3.96,Joakim,Johansson,Celsiusg. 9,Stockholm,unknown,Sweden,1,0.99,8,10,2021
Flying High Again,"L. Kerslake, O. Osbourne, R. Daisley & R. Rhoads",290851,5179599,0.99,Diary of a Madman (Remastered),Ozzy Osbourne,Protected AAC audio file,Rock,2021-10-08,Celsiusg. 9,Stockholm,unknown,Sweden,11230,3.96,Joakim,Johansson,Celsiusg. 9,Stockholm,unknown,Sweden,1,0.99,8,10,2021
No More Tears,"J. Purdell, M. Inez, O. Osbourne, R. Castillo & Z. Wylde",444358,7362964,0.99,No More Tears (Remastered),Ozzy Osbourne,Protected AAC audio file,Rock,2021-10-08,Celsiusg. 9,Stockholm,unknown,Sweden,11230,3.96,Joakim,Johansson,Celsiusg. 9,Stockholm,unknown,Sweden,1,0.99,8,10,2021
Crazy Train,"O. Osbourne, R. Daisley, R. Rhoads",322716,10517408,0.99,Tribute,Ozzy Osbourne,MPEG audio file,Metal,2021-10-08,Celsiusg. 9,Stockholm,unknown,Sweden,11230,3.96,Joakim,Johansson,Celsiusg. 9,Stockholm,unknown,Sweden,1,0.99,8,10,2021
Relvelation (Mother Earth),"O. Osbourne, R. Daisley, R. Rhoads",349440,11367866,0.99,Tribute,Ozzy Osbourne,MPEG audio file,Metal,2021-10-09,421 Bourke Street,Sidney,NSW,Australia,2010,5.94,Mark,Taylor,421 Bourke Street,Sidney,NSW,Australia,1,0.99,9,10,2021
Children Of The Grave,"A. F. Iommi, W. Ward, T. Butler, J. Osbourne",357067,11626740,0.99,Tribute,Ozzy Osbourne,MPEG audio file,Metal,2021-10-09,421 Bourke Street,Sidney,NSW,Australia,2010,5.94,Mark,Taylor,421 Bourke Street,Sidney,NSW,Australia,1,0.99,9,10,2021
Dee,R. Rhoads,261302,8555963,0.99,Tribute,Ozzy Osbourne,MPEG audio file,Metal,2021-10-09,421 Bourke Street,Sidney,NSW,Australia,2010,5.94,Mark,Taylor,421 Bourke Street,Sidney,NSW,Australia,1,0.99,9,10,2021
Blue Train,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",405028,13170391,0.99,Walking Into Clarksdale,Page & Plant,MPEG audio file,Rock,2021-10-09,421 Bourke Street,Sidney,NSW,Australia,2010,5.94,Mark,Taylor,421 Bourke Street,Sidney,NSW,Australia,1,0.99,9,10,2021
Walking Into Clarksdale,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",318511,10396315,0.99,Walking Into Clarksdale,Page & Plant,MPEG audio file,Rock,2021-10-09,421 Bourke Street,Sidney,NSW,Australia,2010,5.94,Mark,Taylor,421 Bourke Street,Sidney,NSW,Australia,1,0.99,9,10,2021
Sons Of Freedom,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",246465,8087944,0.99,Walking Into Clarksdale,Page & Plant,MPEG audio file,Rock,2021-10-09,421 Bourke Street,Sidney,NSW,Australia,2010,5.94,Mark,Taylor,421 Bourke Street,Sidney,NSW,Australia,1,0.99,9,10,2021
Beach Sequence,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",212297,6928259,0.99,Original Soundtracks 1,Passengers,MPEG audio file,Soundtrack,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Plot 180,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",221596,7253729,0.99,Original Soundtracks 1,Passengers,MPEG audio file,Soundtrack,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Murders In The Rue Morgue,Steve Harris,258638,8360999,0.99,The Beast Live,Paul D'Ianno,MPEG audio file,Rock,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Iron Maiden,Steve Harris,235232,7600077,0.99,The Beast Live,Paul D'Ianno,MPEG audio file,Rock,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Untitled,Pearl Jam,122801,3957141,0.99,Live On Two Legs [Live],Pearl Jam,MPEG audio file,Rock,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Nothingman,Jeff Ament & Eddie Vedder,278595,9107017,0.99,Live On Two Legs [Live],Pearl Jam,MPEG audio file,Rock,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
World Wide Suicide,Eddie Vedder,209188,6885908,0.99,Pearl Jam,Pearl Jam,MPEG audio file,Alternative & Punk,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Big Wave,Jeff Ament,178573,5858788,0.99,Pearl Jam,Pearl Jam,MPEG audio file,Alternative & Punk,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Can't Keep,Eddie Vedder,219428,7215713,0.99,Riot Act,Pearl Jam,MPEG audio file,Rock,2021-10-12,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,70174,8.91,Leonie,Köhler,Theodor-Heuss-Straße 34,Stuttgart,unknown,Germany,1,0.99,12,10,2021
Green Disease,Eddie Vedder,161253,5375818,0.99,Riot Act,Pearl Jam,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
Why Go,Jeff Ament,200254,6539287,0.99,Ten,Pearl Jam,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
Animal,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,169325,5503459,0.99,Vs.,Pearl Jam,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
Leash,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,189257,6191560,0.99,Vs.,Pearl Jam,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
Wanted Dread And Alive,unknown,260310,8670933,0.99,Greatest Hits,Lenny Kravitz,MPEG audio file,Reggae,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
The Great Gig In The Sky,"Wright, Waters",284055,9147563,0.99,Dark Side Of The Moon,Pink Floyd,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
Bossa,unknown,29048,967098,0.99,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,MPEG audio file,Hip Hop/Rap,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
Nega Do Cabelo Duro,unknown,121808,4116536,0.99,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,MPEG audio file,Hip Hop/Rap,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
You're My Best Friend,"Deacon, John",172225,5602173,0.99,Greatest Hits I,Queen,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
Seven Seas Of Rhye,"Mercury, Freddie",170553,5539957,0.99,Greatest Hits I,Queen,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
"Get Down, Make Love",Mercury,231235,7509333,0.99,News Of The World,Queen,MPEG audio file,Rock,2021-10-17,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,13.86,Alexandre,Rocha,"Av. Paulista, 2022",São Paulo,SP,Brazil,1,0.99,17,10,2021
