"trackid","trackname","albumid","composer","milliseconds","bytes","unitprice","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","invoiceid","customerid","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","customerfirstname","customerlastname","customeraddress","customercity","customerstate","customercountry","invoicelinequantity","invoicelineunitprice"
3268,"Beautiful Boy",255,NULL,227995,3704642,"0.99","Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",101,9,"2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94","Kara","Nielsen","Sønder Boulevard 51","Copenhagen",NULL,"Denmark",1,"0.99"
3272,"Gimme Some Truth",255,NULL,187546,3060083,"0.99","Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",101,9,"2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94","Kara","Nielsen","Sønder Boulevard 51","Copenhagen",NULL,"Denmark",1,"0.99"
3276,"Sympton of the Universe",256,NULL,340890,5489313,"0.99","Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",101,9,"2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94","Kara","Nielsen","Sønder Boulevard 51","Copenhagen",NULL,"Denmark",1,"0.99"
3280,"War Pigs",256,NULL,515435,8270194,"0.99","Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",101,9,"2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94","Kara","Nielsen","Sønder Boulevard 51","Copenhagen",NULL,"Denmark",1,"0.99"
3284,"Never Say Die",256,NULL,258343,4173799,"0.99","Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",101,9,"2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94","Kara","Nielsen","Sønder Boulevard 51","Copenhagen",NULL,"Denmark",1,"0.99"
3290,"The Zoo",257,NULL,332740,5550779,"0.99","20th Century Masters - The Millennium Collection: The Best of Scorpions",179,"Scorpions",2,"Protected AAC audio file",1,"Rock",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3296,"I Can't Explain",257,NULL,205332,3482099,"0.99","20th Century Masters - The Millennium Collection: The Best of Scorpions",179,"Scorpions",2,"Protected AAC audio file",1,"Rock",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3302,"Put Your Head Out",258,"E. Schrody/L. Freese/L. Muggerud",182230,7291473,"0.99","House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3308,"Danny Boy, Danny Boy",258,"E. Schrody/L. Muggerud",114520,4583091,"0.99","House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3314,"One For The Road",258,"E. Schrody/L. Dimant/L. Muggerud",170213,6810820,"0.99","House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3320,"Chapa o Coco",259,NULL,143830,5755478,"0.99","Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3326,"Todo o Carnaval tem seu Fim",259,NULL,237426,9499371,"0.99","Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3332,"Funk de Bamba",259,NULL,237322,9495184,"0.99","Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"0.99"
3338,"The Beginning of the End",261,NULL,2611903,526865050,"1.99","LOST, Season 4",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",102,15,"2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91","Jennifer","Peterson","700 W Pender Street","Vancouver","BC","Canada",1,"1.99"
3347,"Meet Kevin Johnson",261,NULL,2612028,504132981,"1.99","LOST, Season 4",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"1.99"
3356,"Muita Bobeira",266,"Luciana Souza",172710,2775071,"0.99","Duos II",201,"Luciana Souza/Romero Lubambo",5,"AAC audio file",7,"Latin",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3365,"Say Hello 2 Heaven",269,NULL,384497,6477217,"0.99","Temple of the Dog",204,"Temple of the Dog",2,"Protected AAC audio file",23,"Alternative",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3374,"All Night Thing",269,NULL,231803,3997982,"0.99","Temple of the Dog",204,"Temple of the Dog",2,"Protected AAC audio file",23,"Alternative",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3383,"Scar On the Sky",270,"Chris Cornell",220193,3616618,"0.99","Carry On",205,"Chris Cornell",2,"Protected AAC audio file",23,"Alternative",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3392,"Until We Fall",271,NULL,230758,3766605,"0.99","Revelations",8,"Audioslave",2,"Protected AAC audio file",23,"Alternative",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3401,"Show Me How to Live (Live at the Quart Festival)",271,NULL,301974,4901540,"0.99","Revelations",8,"Audioslave",2,"Protected AAC audio file",23,"Alternative",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3410,"The Messiah: Behold, I Tell You a Mystery... The Trumpet Shall Sound",279,"George Frideric Handel",582029,9553140,"0.99","Handel: The Messiah (Highlights)",213,"Scholars Baroque Ensemble",2,"Protected AAC audio file",24,"Classical",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3419,"Requiem, Op.48: 4. Pie Jesu",288,"Gabriel Fauré",258924,4314850,"0.99","Fauré: Requiem, Ravel: Pavane & Others",222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2,"Protected AAC audio file",24,"Classical",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3428,"Branch Closing",251,NULL,1814855,360331351,"1.99","The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",22,"Comedy",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"1.99"
3437,"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",304,"Ludwig van Beethoven",391000,6318740,"0.99","Beethoven Piano Sonatas: Moonlight & Pastorale",238,"Maurizio Pollini",2,"Protected AAC audio file",24,"Classical",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3446,"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",312,"Hector Berlioz",561967,9173344,"0.99","Berlioz: Symphonie Fantastique",245,"Michael Tilson Thomas & San Francisco Symphony",2,"Protected AAC audio file",24,"Classical",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3455,"Rehab",321,NULL,213240,3416878,"0.99","Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3464,"He Can Only Hold Her",321,"Richard Poindexter & Robert Poindexter",166680,2666531,"0.99","Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",103,24,"2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86","Frank","Ralston","162 E Superior Street","Chicago","IL","USA",1,"0.99"
3478,"Slowness",323,NULL,215386,3644793,"0.99","Carried to Dust (Bonus Track Version)",253,"Calexico",2,"Protected AAC audio file",23,"Alternative",104,38,"2022-03-29 00:00:00","Barbarossastraße 19","Berlin",NULL,"Germany","10779","0.99","Niklas","Schröder","Barbarossastraße 19","Berlin",NULL,"Germany",1,"0.99"
3479,"Prometheus Overture, Op. 43",324,"Ludwig van Beethoven",339567,10887931,"0.99","Beethoven: Symphony No. 6 'Pastoral' Etc.",254,"Otto Klemperer & Philharmonia Orchestra",4,"Purchased AAC audio file",24,"Classical",105,39,"2022-04-11 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","1.98","Camille","Bernard","4, Rue Milton","Paris",NULL,"France",1,"0.99"
3480,"Sonata for Solo Violin: IV: Presto",325,"Béla Bartók",299350,9785346,"0.99","Bartok: Violin & Viola Concertos",255,"Yehudi Menuhin",4,"Purchased AAC audio file",24,"Classical",105,39,"2022-04-11 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","1.98","Camille","Bernard","4, Rue Milton","Paris",NULL,"France",1,"0.99"
3482,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",327,"Johann Sebastian Bach",225933,3847164,"0.99","Bach: Orchestral Suites Nos. 1 - 4",257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2,"Protected AAC audio file",24,"Classical",106,41,"2022-04-11 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","1.98","Marc","Dubois","11, Place Bellecour","Lyon",NULL,"France",1,"0.99"
3484,"Adios nonino",329,"Astor Piazzolla",289388,4781384,"0.99","South American Getaway",259,"The 12 Cellists of The Berlin Philharmonic",2,"Protected AAC audio file",24,"Classical",106,41,"2022-04-11 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","1.98","Marc","Dubois","11, Place Bellecour","Lyon",NULL,"France",1,"0.99"
3486,"Act IV, Symphony",331,"Henry Purcell",364296,5987695,"0.99","Purcell: The Fairy Queen",261,"Roger Norrington, London Classical Players",2,"Protected AAC audio file",24,"Classical",107,43,"2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96","Isabelle","Mercier","68, Rue Jouvence","Dijon",NULL,"France",1,"0.99"
3488,"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",333,"Henry Purcell",142081,2365930,"0.99","Purcell: Music for the Queen Mary",263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",2,"Protected AAC audio file",24,"Classical",107,43,"2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96","Isabelle","Mercier","68, Rue Jouvence","Dijon",NULL,"France",1,"0.99"
3490,"Partita in E Major, BWV 1006A: I. Prelude",335,"Johann Sebastian Bach",285673,4744929,"0.99","J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",265,"Julian Bream",2,"Protected AAC audio file",24,"Classical",107,43,"2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96","Isabelle","Mercier","68, Rue Jouvence","Dijon",NULL,"France",1,"0.99"
3492,"Sing Joyfully",314,"William Byrd",133768,2256484,"0.99","English Renaissance",247,"The King's Singers",2,"Protected AAC audio file",24,"Classical",107,43,"2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96","Isabelle","Mercier","68, Rue Jouvence","Dijon",NULL,"France",1,"0.99"
3496,"Étude 1, In C Major - Preludio (Presto) - Liszt",340,NULL,51780,2229617,"0.99","Liszt - 12 Études D'Execution Transcendante",269,"Michele Campanella",4,"Purchased AAC audio file",24,"Classical",108,47,"2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94","Lucas","Mancini","Via Degli Scipioni, 43","Rome","RM","Italy",1,"0.99"
3500,"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",344,"Franz Schubert",139200,2283131,"0.99","Schubert: The Late String Quartets & String Quintet (3 CD's)",272,"Emerson String Quartet",2,"Protected AAC audio file",24,"Classical",108,47,"2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94","Lucas","Mancini","Via Degli Scipioni, 43","Rome","RM","Italy",1,"0.99"
1,"For Those About To Rock (We Salute You)",1,"Angus Young, Malcolm Young, Brian Johnson",343719,11170334,"0.99","For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock",108,47,"2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94","Lucas","Mancini","Via Degli Scipioni, 43","Rome","RM","Italy",1,"0.99"
5,"Princess of the Dawn",3,"Deaffy & R.A. Smith-Diesel",375418,6290521,"0.99","Restless and Wild",2,"Accept",2,"Protected AAC audio file",1,"Rock",108,47,"2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94","Lucas","Mancini","Via Degli Scipioni, 43","Rome","RM","Italy",1,"0.99"
9,"Snowballed",1,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424,"0.99","For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock",108,47,"2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94","Lucas","Mancini","Via Degli Scipioni, 43","Rome","RM","Italy",1,"0.99"
13,"Night Of The Long Knives",1,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347,"0.99","For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock",108,47,"2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94","Lucas","Mancini","Via Degli Scipioni, 43","Rome","RM","Italy",1,"0.99"
19,"Problem Child",4,"AC/DC",325041,10617116,"0.99","Let There Be Rock",1,"AC/DC",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
25,"Rag Doll",5,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,"0.99","Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
31,"Blind Man",5,"Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,"0.99","Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
37,"Livin' On The Edge",5,"Steven Tyler, Joe Perry, Mark Hudson",381231,12374569,"0.99","Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
43,"Forgiven",6,"Alanis Morissette & Glenn Ballard",300355,9753256,"0.99","Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
49,"Wake Up",6,"Alanis Morissette & Glenn Ballard",293485,9703359,"0.99","Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
55,"I Can't Remember",7,"Jerry Cantrell, Layne Staley",222955,7302550,"0.99","Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
61,"I Know Somethin (Bout You)",7,"Jerry Cantrell",261955,8497788,"0.99","Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
67,"Ligia",8,NULL,251977,8226934,"0.99","Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",109,53,"2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91","Phil","Hughes","113 Lupus St","London",NULL,"United Kingdom",1,"0.99"
76,"Canta, Canta Mais",8,NULL,271856,8719426,"0.99","Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
85,"Cochise",10,"Audioslave/Chris Cornell",222380,5339931,"0.99","Audioslave",8,"Audioslave",1,"MPEG audio file",1,"Rock",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
94,"Hypnotize",10,"Audioslave/Chris Cornell",206628,4961887,"0.99","Audioslave",8,"Audioslave",1,"MPEG audio file",1,"Rock",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
103,"Drown Me Slowly",11,"Cornell, Commerford, Morello, Wilk",233691,7609178,"0.99","Out Of Exile",8,"Audioslave",1,"MPEG audio file",4,"Alternative & Punk",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
112,"Long Tall Sally",12,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106396,1707084,"0.99","BackBeat Soundtrack",9,"BackBeat",1,"MPEG audio file",5,"Rock And Roll",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
121,"Good Golly Miss Molly",12,"Little Richard",106266,1704918,"0.99","BackBeat Soundtrack",9,"BackBeat",1,"MPEG audio file",5,"Rock And Roll",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
130,"Do what cha wanna",13,"George Duke",274155,9018565,"0.99","The Best Of Billy Cobham",10,"Billy Cobham",1,"MPEG audio file",2,"Jazz",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
139,"A.N.D.R.O.T.A.Z.",14,NULL,266266,8574746,"0.99","Alcohol Fueled Brewtality Live! [Disc 1]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
148,"The Beginning...At Last",15,NULL,271960,8975814,"0.99","Alcohol Fueled Brewtality Live! [Disc 2]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
157,"Tomorrow's Dream",17,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",192496,6252071,"0.99","Black Sabbath Vol. 4 (Remaster)",12,"Black Sabbath",1,"MPEG audio file",3,"Metal",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
166,"Smoked Pork",18,NULL,47333,1549074,"0.99","Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
175,"Voodoo",18,NULL,300721,9875962,"0.99","Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
184,"Chemical Wedding",19,"Roy Z",246177,8022764,"0.99","Chemical Wedding",14,"Bruce Dickinson",1,"MPEG audio file",3,"Metal",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
193,"Realword",19,"Roy Z",237531,7802095,"0.99","Chemical Wedding",14,"Bruce Dickinson",1,"MPEG audio file",3,"Metal",110,3,"2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86","François","Tremblay","1498 rue Bélanger","Montréal","QC","Canada",1,"0.99"
207,"Meditação",21,"Tom Jobim - Newton Mendoça",148793,4865597,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",111,17,"2022-04-29 00:00:00","1 Microsoft Way","Redmond","WA","USA","98052-8300","0.99","Jack","Smith","1 Microsoft Way","Redmond","WA","USA",1,"0.99"
208,"Terra",21,"Caetano Veloso",482429,15889054,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",112,18,"2022-05-12 00:00:00","627 Broadway","New York","NY","USA","10012-2612","1.98","Michelle","Brooks","627 Broadway","New York","NY","USA",1,"0.99"
209,"Eclipse Oculto",21,"Caetano Veloso",221936,7382703,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",112,18,"2022-05-12 00:00:00","627 Broadway","New York","NY","USA","10012-2612","1.98","Michelle","Brooks","627 Broadway","New York","NY","USA",1,"0.99"
211,"Bem Devagar",21,"Gilberto Gil",133172,4333651,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",113,20,"2022-05-12 00:00:00","541 Del Medio Avenue","Mountain View","CA","USA","94040-111","1.98","Dan","Miller","541 Del Medio Avenue","Mountain View","CA","USA",1,"0.99"
213,"Saudosismo",21,"Caetano Veloso",144326,4726981,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",113,20,"2022-05-12 00:00:00","541 Del Medio Avenue","Mountain View","CA","USA","94040-111","1.98","Dan","Miller","541 Del Medio Avenue","Mountain View","CA","USA",1,"0.99"
215,"Sozinho",21,"Peninha",190589,6253200,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",114,22,"2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96","Heather","Leacock","120 S Orange Ave","Orlando","FL","USA",1,"0.99"
217,"Mel",21,"Caetano Veloso - Waly Salomão",294765,9854062,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",114,22,"2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96","Heather","Leacock","120 S Orange Ave","Orlando","FL","USA",1,"0.99"
219,"Odara",21,"Caetano Veloso",141270,4704104,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",114,22,"2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96","Heather","Leacock","120 S Orange Ave","Orlando","FL","USA",1,"0.99"
221,"Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu",21,"David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto",307252,10364247,"0.99","Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",114,22,"2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96","Heather","Leacock","120 S Orange Ave","Orlando","FL","USA",1,"0.99"
225,"Sozinho (Caêdrum 'n' Bass)",22,NULL,328071,10975007,"0.99","Sozinho Remix Ao Vivo",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin",115,26,"2022-05-14 00:00:00","2211 W Berry Street","Fort Worth","TX","USA","76110","5.94","Richard","Cunningham","2211 W Berry Street","Fort Worth","TX","USA",1,"0.99"
229,"Samba De Orly",23,NULL,162429,5431854,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",115,26,"2022-05-14 00:00:00","2211 W Berry Street","Fort Worth","TX","USA","76110","5.94","Richard","Cunningham","2211 W Berry Street","Fort Worth","TX","USA",1,"0.99"
233,"O Que Será (À Flor Da Terra)",23,NULL,167288,5574848,"0.99","Minha Historia",17,"Chico Buarque",1,"MPEG audio file",7,"Latin",115,26,"2022-05-14 00:00:00","2211 W Berry Street","Fort Worth","TX","USA","76110","5.94","Richard","Cunningham","2211 W Berry Street","Fort Worth","TX","USA",1,"0.99"
