"trackid","trackname","albumid","albumtitle","artistid","artistname","mediatypeid","mediatypename","genreid","genrename","composer","milliseconds","bytes","unitprice","invoiceid","customerid","customerfirstname","customerlastname","invoicedate","billingaddress","billingcity","billingstate","billingcountry","billingpostalcode","invoicetotal","invoicelinequantity","invoicelineunitprice"
3205,"Diwali",251,"The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",19,"TV Shows",NULL,1279904,252726644,"1.99",96,45,"Ladislav","Kovács","2022-02-18 00:00:00","Erzsébet krt. 58.","Budapest",NULL,"Hungary","H-1073","21.86",1,"1.99"
3214,"Phyllis's Wedding",251,"The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",22,"Comedy",NULL,1271521,258561054,"1.99",96,45,"Ladislav","Kovács","2022-02-18 00:00:00","Erzsébet krt. 58.","Budapest",NULL,"Hungary","H-1073","21.86",1,"1.99"
3223,"How to Stop an Exploding Man",228,"Heroes, Season 1",148,"Heroes",3,"Protected MPEG-4 video file",21,"Drama",NULL,2687103,487881159,"1.99",96,45,"Ladislav","Kovács","2022-02-18 00:00:00","Erzsébet krt. 58.","Budapest",NULL,"Hungary","H-1073","21.86",1,"1.99"
3232,"The Long Patrol",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2925008,513122217,"1.99",96,45,"Ladislav","Kovács","2022-02-18 00:00:00","Erzsébet krt. 58.","Budapest",NULL,"Hungary","H-1073","21.86",1,"1.99"
3246,"Baltar's Escape",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2922088,525564224,"1.99",97,59,"Puja","Srivastava","2022-02-26 00:00:00","3,Raj Bhavan Road","Bangalore",NULL,"India","560001","1.99",1,"1.99"
3247,"Experiment In Terra",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2923548,547982556,"1.99",98,1,"Luís","Gonçalves","2022-03-11 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos","SP","Brazil","12227-000","3.98",1,"1.99"
3248,"Take the Celestra",253,"Battlestar Galactica (Classic), Season 1",158,"Battlestar Galactica (Classic)",3,"Protected MPEG-4 video file",20,"Sci Fi & Fantasy",NULL,2927677,512381289,"1.99",98,1,"Luís","Gonçalves","2022-03-11 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos","SP","Brazil","12227-000","3.98",1,"1.99"
3250,"Pilot",254,"Aquaman",159,"Aquaman",3,"Protected MPEG-4 video file",19,"TV Shows",NULL,2484567,492670102,"1.99",99,3,"François","Tremblay","2022-03-11 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","3.98",1,"1.99"
3252,"Through the Looking Glass, Pt. 1",229,"Lost, Season 3",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",NULL,2610860,493211809,"1.99",99,3,"François","Tremblay","2022-03-11 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","3.98",1,"1.99"
3254,"#9 Dream",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,278312,4506425,"0.99",100,5,"František","Wichterlová","2022-03-12 00:00:00","Klanova 9/506","Prague",NULL,"Czech Republic","14700","3.96",1,"0.99"
3256,"Give Peace a Chance",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,274644,4448025,"0.99",100,5,"František","Wichterlová","2022-03-12 00:00:00","Klanova 9/506","Prague",NULL,"Czech Republic","14700","3.96",1,"0.99"
3258,"Whatever Gets You Thru the Night",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,215084,3499018,"0.99",100,5,"František","Wichterlová","2022-03-12 00:00:00","Klanova 9/506","Prague",NULL,"Czech Republic","14700","3.96",1,"0.99"
3260,"Gimme Some Truth",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,232778,3780807,"0.99",100,5,"František","Wichterlová","2022-03-12 00:00:00","Klanova 9/506","Prague",NULL,"Czech Republic","14700","3.96",1,"0.99"
3264,"Jealous Guy",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,239094,3881620,"0.99",101,9,"Kara","Nielsen","2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94",1,"0.99"
3268,"Beautiful Boy",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,227995,3704642,"0.99",101,9,"Kara","Nielsen","2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94",1,"0.99"
3272,"Gimme Some Truth",255,"Instant Karma: The Amnesty International Campaign to Save Darfur",150,"U2",2,"Protected AAC audio file",9,"Pop",NULL,187546,3060083,"0.99",101,9,"Kara","Nielsen","2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94",1,"0.99"
3276,"Sympton of the Universe",256,"Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",NULL,340890,5489313,"0.99",101,9,"Kara","Nielsen","2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94",1,"0.99"
3280,"War Pigs",256,"Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",NULL,515435,8270194,"0.99",101,9,"Kara","Nielsen","2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94",1,"0.99"
3284,"Never Say Die",256,"Speak of the Devil",114,"Ozzy Osbourne",2,"Protected AAC audio file",1,"Rock",NULL,258343,4173799,"0.99",101,9,"Kara","Nielsen","2022-03-13 00:00:00","Sønder Boulevard 51","Copenhagen",NULL,"Denmark","1720","5.94",1,"0.99"
3290,"The Zoo",257,"20th Century Masters - The Millennium Collection: The Best of Scorpions",179,"Scorpions",2,"Protected AAC audio file",1,"Rock",NULL,332740,5550779,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3296,"I Can't Explain",257,"20th Century Masters - The Millennium Collection: The Best of Scorpions",179,"Scorpions",2,"Protected AAC audio file",1,"Rock",NULL,205332,3482099,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3302,"Put Your Head Out",258,"House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap","E. Schrody/L. Freese/L. Muggerud",182230,7291473,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3308,"Danny Boy, Danny Boy",258,"House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap","E. Schrody/L. Muggerud",114520,4583091,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3314,"One For The Road",258,"House of Pain",180,"House Of Pain",1,"MPEG audio file",17,"Hip Hop/Rap","E. Schrody/L. Dimant/L. Muggerud",170213,6810820,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3320,"Chapa o Coco",259,"Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",NULL,143830,5755478,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3326,"Todo o Carnaval tem seu Fim",259,"Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",NULL,237426,9499371,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3332,"Funk de Bamba",259,"Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro",36,"O Rappa",1,"MPEG audio file",15,"Electronica/Dance",NULL,237322,9495184,"0.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"0.99"
3338,"The Beginning of the End",261,"LOST, Season 4",149,"Lost",3,"Protected MPEG-4 video file",21,"Drama",NULL,2611903,526865050,"1.99",102,15,"Jennifer","Peterson","2022-03-16 00:00:00","700 W Pender Street","Vancouver","BC","Canada","V6C 1G8","9.91",1,"1.99"
3347,"Meet Kevin Johnson",261,"LOST, Season 4",149,"Lost",3,"Protected MPEG-4 video file",19,"TV Shows",NULL,2612028,504132981,"1.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"1.99"
3356,"Muita Bobeira",266,"Duos II",201,"Luciana Souza/Romero Lubambo",5,"AAC audio file",7,"Latin","Luciana Souza",172710,2775071,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3365,"Say Hello 2 Heaven",269,"Temple of the Dog",204,"Temple of the Dog",2,"Protected AAC audio file",23,"Alternative",NULL,384497,6477217,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3374,"All Night Thing",269,"Temple of the Dog",204,"Temple of the Dog",2,"Protected AAC audio file",23,"Alternative",NULL,231803,3997982,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3383,"Scar On the Sky",270,"Carry On",205,"Chris Cornell",2,"Protected AAC audio file",23,"Alternative","Chris Cornell",220193,3616618,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3392,"Until We Fall",271,"Revelations",8,"Audioslave",2,"Protected AAC audio file",23,"Alternative",NULL,230758,3766605,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3401,"Show Me How to Live (Live at the Quart Festival)",271,"Revelations",8,"Audioslave",2,"Protected AAC audio file",23,"Alternative",NULL,301974,4901540,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3410,"The Messiah: Behold, I Tell You a Mystery... The Trumpet Shall Sound",279,"Handel: The Messiah (Highlights)",213,"Scholars Baroque Ensemble",2,"Protected AAC audio file",24,"Classical","George Frideric Handel",582029,9553140,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3419,"Requiem, Op.48: 4. Pie Jesu",288,"Fauré: Requiem, Ravel: Pavane & Others",222,"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",2,"Protected AAC audio file",24,"Classical","Gabriel Fauré",258924,4314850,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3428,"Branch Closing",251,"The Office, Season 3",156,"The Office",3,"Protected MPEG-4 video file",22,"Comedy",NULL,1814855,360331351,"1.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"1.99"
3437,"Piano Sonata No. 14 in C Sharp Minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",304,"Beethoven Piano Sonatas: Moonlight & Pastorale",238,"Maurizio Pollini",2,"Protected AAC audio file",24,"Classical","Ludwig van Beethoven",391000,6318740,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3446,"Symphonie Fantastique, Op. 14: V. Songe d'une nuit du sabbat",312,"Berlioz: Symphonie Fantastique",245,"Michael Tilson Thomas & San Francisco Symphony",2,"Protected AAC audio file",24,"Classical","Hector Berlioz",561967,9173344,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3455,"Rehab",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul",NULL,213240,3416878,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3464,"He Can Only Hold Her",321,"Back to Black",252,"Amy Winehouse",2,"Protected AAC audio file",14,"R&B/Soul","Richard Poindexter & Robert Poindexter",166680,2666531,"0.99",103,24,"Frank","Ralston","2022-03-21 00:00:00","162 E Superior Street","Chicago","IL","USA","60611","15.86",1,"0.99"
3478,"Slowness",323,"Carried to Dust (Bonus Track Version)",253,"Calexico",2,"Protected AAC audio file",23,"Alternative",NULL,215386,3644793,"0.99",104,38,"Niklas","Schröder","2022-03-29 00:00:00","Barbarossastraße 19","Berlin",NULL,"Germany","10779","0.99",1,"0.99"
3479,"Prometheus Overture, Op. 43",324,"Beethoven: Symphony No. 6 'Pastoral' Etc.",254,"Otto Klemperer & Philharmonia Orchestra",4,"Purchased AAC audio file",24,"Classical","Ludwig van Beethoven",339567,10887931,"0.99",105,39,"Camille","Bernard","2022-04-11 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","1.98",1,"0.99"
3480,"Sonata for Solo Violin: IV: Presto",325,"Bartok: Violin & Viola Concertos",255,"Yehudi Menuhin",4,"Purchased AAC audio file",24,"Classical","Béla Bartók",299350,9785346,"0.99",105,39,"Camille","Bernard","2022-04-11 00:00:00","4, Rue Milton","Paris",NULL,"France","75009","1.98",1,"0.99"
3482,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",327,"Bach: Orchestral Suites Nos. 1 - 4",257,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",2,"Protected AAC audio file",24,"Classical","Johann Sebastian Bach",225933,3847164,"0.99",106,41,"Marc","Dubois","2022-04-11 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","1.98",1,"0.99"
3484,"Adios nonino",329,"South American Getaway",259,"The 12 Cellists of The Berlin Philharmonic",2,"Protected AAC audio file",24,"Classical","Astor Piazzolla",289388,4781384,"0.99",106,41,"Marc","Dubois","2022-04-11 00:00:00","11, Place Bellecour","Lyon",NULL,"France","69002","1.98",1,"0.99"
3486,"Act IV, Symphony",331,"Purcell: The Fairy Queen",261,"Roger Norrington, London Classical Players",2,"Protected AAC audio file",24,"Classical","Henry Purcell",364296,5987695,"0.99",107,43,"Isabelle","Mercier","2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96",1,"0.99"
3488,"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",333,"Purcell: Music for the Queen Mary",263,"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",2,"Protected AAC audio file",24,"Classical","Henry Purcell",142081,2365930,"0.99",107,43,"Isabelle","Mercier","2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96",1,"0.99"
3490,"Partita in E Major, BWV 1006A: I. Prelude",335,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",265,"Julian Bream",2,"Protected AAC audio file",24,"Classical","Johann Sebastian Bach",285673,4744929,"0.99",107,43,"Isabelle","Mercier","2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96",1,"0.99"
3492,"Sing Joyfully",314,"English Renaissance",247,"The King's Singers",2,"Protected AAC audio file",24,"Classical","William Byrd",133768,2256484,"0.99",107,43,"Isabelle","Mercier","2022-04-12 00:00:00","68, Rue Jouvence","Dijon",NULL,"France","21000","3.96",1,"0.99"
3496,"Étude 1, In C Major - Preludio (Presto) - Liszt",340,"Liszt - 12 Études D'Execution Transcendante",269,"Michele Campanella",4,"Purchased AAC audio file",24,"Classical",NULL,51780,2229617,"0.99",108,47,"Lucas","Mancini","2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94",1,"0.99"
3500,"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",344,"Schubert: The Late String Quartets & String Quintet (3 CD's)",272,"Emerson String Quartet",2,"Protected AAC audio file",24,"Classical","Franz Schubert",139200,2283131,"0.99",108,47,"Lucas","Mancini","2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94",1,"0.99"
1,"For Those About To Rock (We Salute You)",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",343719,11170334,"0.99",108,47,"Lucas","Mancini","2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94",1,"0.99"
5,"Princess of the Dawn",3,"Restless and Wild",2,"Accept",2,"Protected AAC audio file",1,"Rock","Deaffy & R.A. Smith-Diesel",375418,6290521,"0.99",108,47,"Lucas","Mancini","2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94",1,"0.99"
9,"Snowballed",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",203102,6599424,"0.99",108,47,"Lucas","Mancini","2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94",1,"0.99"
13,"Night Of The Long Knives",1,"For Those About To Rock We Salute You",1,"AC/DC",1,"MPEG audio file",1,"Rock","Angus Young, Malcolm Young, Brian Johnson",205688,6706347,"0.99",108,47,"Lucas","Mancini","2022-04-13 00:00:00","Via Degli Scipioni, 43","Rome","RM","Italy","00192","5.94",1,"0.99"
19,"Problem Child",4,"Let There Be Rock",1,"AC/DC",1,"MPEG audio file",1,"Rock","AC/DC",325041,10617116,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
25,"Rag Doll",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
31,"Blind Man",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
37,"Livin' On The Edge",5,"Big Ones",3,"Aerosmith",1,"MPEG audio file",1,"Rock","Steven Tyler, Joe Perry, Mark Hudson",381231,12374569,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
43,"Forgiven",6,"Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock","Alanis Morissette & Glenn Ballard",300355,9753256,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
49,"Wake Up",6,"Jagged Little Pill",4,"Alanis Morissette",1,"MPEG audio file",1,"Rock","Alanis Morissette & Glenn Ballard",293485,9703359,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
55,"I Can't Remember",7,"Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock","Jerry Cantrell, Layne Staley",222955,7302550,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
61,"I Know Somethin (Bout You)",7,"Facelift",5,"Alice In Chains",1,"MPEG audio file",1,"Rock","Jerry Cantrell",261955,8497788,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
67,"Ligia",8,"Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",NULL,251977,8226934,"0.99",109,53,"Phil","Hughes","2022-04-16 00:00:00","113 Lupus St","London",NULL,"United Kingdom","SW1V 3EN","8.91",1,"0.99"
76,"Canta, Canta Mais",8,"Warner 25 Anos",6,"Antônio Carlos Jobim",1,"MPEG audio file",2,"Jazz",NULL,271856,8719426,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
85,"Cochise",10,"Audioslave",8,"Audioslave",1,"MPEG audio file",1,"Rock","Audioslave/Chris Cornell",222380,5339931,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
94,"Hypnotize",10,"Audioslave",8,"Audioslave",1,"MPEG audio file",1,"Rock","Audioslave/Chris Cornell",206628,4961887,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
103,"Drown Me Slowly",11,"Out Of Exile",8,"Audioslave",1,"MPEG audio file",4,"Alternative & Punk","Cornell, Commerford, Morello, Wilk",233691,7609178,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
112,"Long Tall Sally",12,"BackBeat Soundtrack",9,"BackBeat",1,"MPEG audio file",5,"Rock And Roll","Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106396,1707084,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
121,"Good Golly Miss Molly",12,"BackBeat Soundtrack",9,"BackBeat",1,"MPEG audio file",5,"Rock And Roll","Little Richard",106266,1704918,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
130,"Do what cha wanna",13,"The Best Of Billy Cobham",10,"Billy Cobham",1,"MPEG audio file",2,"Jazz","George Duke",274155,9018565,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
139,"A.N.D.R.O.T.A.Z.",14,"Alcohol Fueled Brewtality Live! [Disc 1]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",NULL,266266,8574746,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
148,"The Beginning...At Last",15,"Alcohol Fueled Brewtality Live! [Disc 2]",11,"Black Label Society",1,"MPEG audio file",3,"Metal",NULL,271960,8975814,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
157,"Tomorrow's Dream",17,"Black Sabbath Vol. 4 (Remaster)",12,"Black Sabbath",1,"MPEG audio file",3,"Metal","Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",192496,6252071,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
166,"Smoked Pork",18,"Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",NULL,47333,1549074,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
175,"Voodoo",18,"Body Count",13,"Body Count",1,"MPEG audio file",4,"Alternative & Punk",NULL,300721,9875962,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
184,"Chemical Wedding",19,"Chemical Wedding",14,"Bruce Dickinson",1,"MPEG audio file",3,"Metal","Roy Z",246177,8022764,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
193,"Realword",19,"Chemical Wedding",14,"Bruce Dickinson",1,"MPEG audio file",3,"Metal","Roy Z",237531,7802095,"0.99",110,3,"François","Tremblay","2022-04-21 00:00:00","1498 rue Bélanger","Montréal","QC","Canada","H2G 1A7","13.86",1,"0.99"
207,"Meditação",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Tom Jobim - Newton Mendoça",148793,4865597,"0.99",111,17,"Jack","Smith","2022-04-29 00:00:00","1 Microsoft Way","Redmond","WA","USA","98052-8300","0.99",1,"0.99"
208,"Terra",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Caetano Veloso",482429,15889054,"0.99",112,18,"Michelle","Brooks","2022-05-12 00:00:00","627 Broadway","New York","NY","USA","10012-2612","1.98",1,"0.99"
209,"Eclipse Oculto",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Caetano Veloso",221936,7382703,"0.99",112,18,"Michelle","Brooks","2022-05-12 00:00:00","627 Broadway","New York","NY","USA","10012-2612","1.98",1,"0.99"
211,"Bem Devagar",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Gilberto Gil",133172,4333651,"0.99",113,20,"Dan","Miller","2022-05-12 00:00:00","541 Del Medio Avenue","Mountain View","CA","USA","94040-111","1.98",1,"0.99"
213,"Saudosismo",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Caetano Veloso",144326,4726981,"0.99",113,20,"Dan","Miller","2022-05-12 00:00:00","541 Del Medio Avenue","Mountain View","CA","USA","94040-111","1.98",1,"0.99"
215,"Sozinho",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Peninha",190589,6253200,"0.99",114,22,"Heather","Leacock","2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96",1,"0.99"
217,"Mel",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Caetano Veloso - Waly Salomão",294765,9854062,"0.99",114,22,"Heather","Leacock","2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96",1,"0.99"
219,"Odara",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","Caetano Veloso",141270,4704104,"0.99",114,22,"Heather","Leacock","2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96",1,"0.99"
221,"Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu",21,"Prenda Minha",16,"Caetano Veloso",1,"MPEG audio file",7,"Latin","David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto",307252,10364247,"0.99",114,22,"Heather","Leacock","2022-05-13 00:00:00","120 S Orange Ave","Orlando","FL","USA","32801","3.96",1,"0.99"
